Term,Dominant_Subject
isothermal,chemistry
isotope,chemistry
iupac,chemistry
jar,physics
jaw,physics
jet,physics
jockey,physics
joint,physics
joule,physics
jump,physics
junction,physics
june,mathematics
k2co3,chemistry
k2cr2o7,chemistry
k2cro4,chemistry
k2fe,chemistry
k2s2o8,chemistry
kax,physics
kbro,chemistry
kbt,physics
keep,physics
kelvin,chemistry
kerosene,physics
ketene,chemistry
ketone,chemistry
kettle,physics
kev,physics
key,physics
keyand,physics
kfe,chemistry
kgm,physics
khz,physics
kilo,physics
kilogram,physics
kind,chemistry
kinetic,chemistry
kinetics,chemistry
kio4,chemistry
km,physics
kmno4,chemistry
kno2,chemistry
koch,chemistry
koh,chemistry
kolbe,chemistry
kpa,physics
ksp,chemistry
ksr,physics
kxe,physics
label,chemistry
laboratory,physics
ladder,physics
laevorotatory,chemistry
lake,physics
lamina,physics
lamp,physics
land,mathematics
lassiagne,chemistry
latent,physics
later,physics
lattice,chemistry
latus,mathematics
law,physics
lawson,physics
layer,physics
lcr,physics
lead,physics
leaking,physics
least,physics
left,physics
length,physics
lens,physics
lete,physics
level,physics
lewis,chemistry
li2,physics
lialh,chemistry
lialh4,chemistry
liberates,chemistry
licn,chemistry
lie,mathematics
life,physics
lift,physics
ligand,chemistry
light,physics
limestone,chemistry
limit,mathematics
limiting,chemistry
limx,mathematics
lindlar,chemistry
line,mathematics
linearity,physics
lining,chemistry
link,chemistry
linkage,chemistry
liq,chemistry
liquid,physics
liter,chemistry
litre,chemistry
living,physics
lmn,mathematics
ln2,mathematics
lnk,physics
lnt,mathematics
lnx,mathematics
lny,mathematics
load,physics
location,physics
locus,mathematics
log,mathematics
logarithm,mathematics
loge,mathematics
lone,chemistry
longitudinal,physics
look,mathematics
loop,physics
loss,physics
loudspeaker,physics
lumo,chemistry
lying,physics
lyman,physics
lysine,chemistry
m2g,physics
m58,mathematics
m61,mathematics
macromolecule,chemistry
magnesium,chemistry
magnet,physics
magnetic,chemistry
magnetite,chemistry
magneton,chemistry
magnification,physics
magnified,physics
magnitude,physics
main,physics
malachite,chemistry
man,physics
manner,physics
mark,physics
mass,physics
massless,physics
material,physics
mathbb,mathematics
mathematics,mathematics
matrix,mathematics
max,mathematics
maximum,mathematics
mcl,chemistry
me,chemistry
mean,chemistry
measure,chemistry
measurement,physics
mebr,chemistry
mechanical,physics
mechanism,chemistry
median,mathematics
medicine,physics
medium,chemistry
meet,mathematics
mei,chemistry
melamine,chemistry
melt,physics
melting,chemistry
member,mathematics
memgbr,chemistry
men,chemistry
meniscus,physics
meo,chemistry
meooc,chemistry
mesh,physics
meso,chemistry
meta,physics
metal,chemistry
metallic,physics
meter,physics
method,physics
methoxy,chemistry
methoxyphenyl,chemistry
methoxyphenylacetylene,chemistry
methyl,chemistry
methylaniline,chemistry
methylbenzene,chemistry
methylchlorobenzene,chemistry
methylcyclohex,physics
methylcyclohexane,chemistry
methylcyclohexanone,chemistry
methylcyclohexene,chemistry
methylene,chemistry
methylhex,chemistry
methylhexane,chemistry
methylpentane,chemistry
methylpropan,chemistry
methyltetrahydrofuran,chemistry
metre,physics
mev,physics
mevc,physics
mg2c3,chemistry
mgcl,chemistry
mgco,chemistry
mgi,chemistry
mgk,physics
micellar,chemistry
micelle,chemistry
microbe,chemistry
micrometer,physics
mid,mathematics
middle,physics
midpoint,physics
midway,physics
milli,chemistry
milliradian,physics
millisecond,physics
min,mathematics
mind,physics
mineral,chemistry
minimum,mathematics
minor,chemistry
minute,physics
mirror,physics
missile,mathematics
mistake,physics
mixh,chemistry
mixing,chemistry
mixture,chemistry
mixv,chemistry
mlt,chemistry
mm,physics
mn,chemistry
mn2,chemistry
mncl,chemistry
mncl2,chemistry
mnso,chemistry
mode,physics
model,chemistry
modulus,physics
mohr,chemistry
moist,chemistry
molal,chemistry
molality,chemistry
molar,chemistry
molarity,chemistry
mole,chemistry
molecular,chemistry
molecule,chemistry
molybdenum,physics
moment,physics
momentum,physics
monatomic,physics
monoanion,chemistry
monoatomic,chemistry
monobromination,chemistry
monochlorination,chemistry
monocyclic,chemistry
monolayer,chemistry
monomer,chemistry
monosaccharide,chemistry
month,mathematics
mosley,chemistry
motion,physics
motor,physics
move,physics
moving,physics
mpmq,physics
mqr,mathematics
mth,physics
mu1,physics
mu2,physics
mu3,physics
much,physics
mud,chemistry
multiple,mathematics
mx2,chemistry
mzn,mathematics
n2h4,chemistry
n2o3,chemistry
n2o5,chemistry
na2hpo4,chemistry
na2o2,chemistry
na2s2o3,chemistry
na2so4,physics
nabh4,chemistry
nacn,chemistry
nahco,chemistry
nahso,chemistry
nai,chemistry
name,chemistry
nan,chemistry
nanh,chemistry
nanh2,chemistry
nano,chemistry
nano2,chemistry
nao,chemistry
naobr,chemistry
naoc,chemistry
naocl,chemistry
naoet,chemistry
naoh,chemistry
naome,chemistry
naphthol,chemistry
natural,chemistry
nature,chemistry
nbr,chemistry
nc,chemistry
nch,chemistry
nearer,physics
nearly,physics
need,physics
neglect,physics
neglecting,physics
neighbour,chemistry
neither,mathematics
nen,chemistry
neon,physics
neq,mathematics
net,chemistry
network,physics
neutralization,chemistry
neutrino,physics
neutron,physics
newman,chemistry
newton,physics
next,physics
nh2,chemistry
nh2ch2ch2nh2,chemistry
nh2oh,chemistry
nh3,chemistry
nh4,chemistry
nh4cl,physics
nh4no3,chemistry
nh4oh,chemistry
nhbr,chemistry
nhch,chemistry
ni,chemistry
ni2,chemistry
nickel,chemistry
nicl,chemistry
nicl4,chemistry
night,physics
nitrate,chemistry
nitration,chemistry
nitro,chemistry
nitrobenzene,chemistry
nitrochlorobenzene,chemistry
nitrogen,chemistry
nitrophenyl,chemistry
nitrotoluene,chemistry
no,chemistry
nocl,chemistry
node,physics
nomenclature,chemistry
non,mathematics
none,mathematics
nonpolar,physics
nonzero,mathematics
normal,mathematics
notation,chemistry
nozzle,physics
nqbr,physics
nrgt,physics
nucleon,physics
nucleophilic,chemistry
nucleus,physics
nuclide,chemistry
nuclides,chemistry
null,chemistry
nylon,chemistry
o2n,chemistry
oab,mathematics
oac,chemistry
obeys,chemistry
object,physics
observation,chemistry
observer,physics
obtuse,mathematics
occupancy,chemistry
occupies,chemistry
occurrence,mathematics
occurs,chemistry
ocean,physics
och,chemistry
och2ch3,chemistry
ococh,chemistry
octagon,mathematics
octahedral,chemistry
octahedron,mathematics
octant,mathematics
octasaccharide,chemistry
octet,chemistry
octyne,chemistry
odd,mathematics
oet,chemistry
ofn,physics
ohm,physics
oil,physics
olefin,chemistry
oleum,chemistry
one,mathematics
ono,chemistry
onto,mathematics
onwards,physics
oocch,chemistry
opaque,physics
open,physics
